RegionID,SizeRank,RegionName,RegionType,StateName,Date,MarketHeatIndex,ZHVI,SaleToListRatio,Year
395202,234,"Warner Robins, GA",msa,GA,2018-03-31,44.0,143944.44039923977,0.9728614073094254,2018
395151,235,"Terre Haute, IN",msa,IN,2018-03-31,24.0,96203.3436164214,0.9416544780794404,2018
395162,236,"Torrington, CT",msa,CT,2018-03-31,33.0,239372.6338509007,0.9424960006018358,2018
395009,237,"Punta Gorda, FL",msa,FL,2018-03-31,38.0,210401.98204202985,0.9637599159835708,2018
394386,239,"Billings, MT",msa,MT,2018-03-31,48.0,248577.1970265404,0.977675951154816,2018
394748,241,"Kingston, NY",msa,NY,2018-03-31,41.0,221189.65172140472,0.9623311495866682,2018
394960,242,"Panama City, FL",msa,FL,2018-03-31,44.0,203962.19526594548,0.9602714676487966,2018
394729,243,"Joplin, MO",msa,MO,2018-03-31,33.0,127747.26456522135,0.9634181078901732,2018
394539,244,"Dover, DE",msa,DE,2018-03-31,51.0,216303.1359710307,0.9936484551888884,2018
394559,245,"El Centro, CA",msa,CA,2018-03-31,49.0,217757.3452889165,0.9878734950040295,2018
395246,247,"Yuba City, CA",msa,CA,2018-03-31,65.0,283032.19593405124,0.988478103342456,2018
394406,248,"Bowling Green, KY",msa,KY,2018-03-31,39.0,160734.89271140078,0.9617475544847386,2018
395119,249,"St. George, UT",msa,UT,2018-03-31,57.0,302025.9498877314,0.9808319276889778,2018
394896,250,"Muskegon, MI",msa,MI,2018-03-31,52.0,133751.295680706,0.9714239545827004,2018
394299,251,"Abilene, TX",msa,TX,2018-03-31,45.0,141354.09027882633,0.9635661305842784,2018
394707,252,"Iowa City, IA",msa,IA,2018-03-31,54.0,210544.3154371333,0.9806036203292262,2018
394671,255,"Hattiesburg, MS",msa,MS,2018-03-31,24.0,154697.0015701964,0.9767356285072568,2018
394651,259,"Greenville, NC",msa,NC,2018-03-31,45.0,136211.61528997342,0.9703834575858598,2018
394392,265,"Blacksburg, VA",msa,VA,2018-03-31,45.0,181408.25451756644,0.9716659585523244,2018
394731,267,"Kahului, HI",msa,HI,2018-03-31,37.0,632773.4217649543,0.9614874029753798,2018
394720,268,"Janesville, WI",msa,WI,2018-03-31,61.0,155228.28776184728,0.9730038899883344,2018
394710,272,"Jackson, MI",msa,MI,2018-03-31,38.0,138795.12373042412,0.9616111206066856,2018
395079,274,"Sebastian, FL",msa,FL,2018-03-31,38.0,229365.73642033176,0.9549596712259232,2018
394814,275,"Madera, CA",msa,CA,2018-03-31,51.0,255504.84560360908,0.9744960969356392,2018
394453,277,"Chambersburg, PA",msa,PA,2018-03-31,43.0,183412.3676654201,0.964191102578562,2018
394639,280,"Grand Junction, CO",msa,CO,2018-03-31,61.0,243697.46807798595,0.982187513418332,2018
394873,283,"Monroe, MI",msa,MI,2018-03-31,34.0,170147.13107935246,0.9630926290721163,2018
395066,284,"Santa Fe, NM",msa,NM,2018-03-31,44.0,341795.3767830663,0.9693707620985996,2018
395163,287,"Traverse City, MI",msa,MI,2018-03-31,39.0,233498.1939136088,0.9631975296060274,2018
394685,289,"Homosassa Springs, FL",msa,FL,2018-03-31,39.0,154455.87316807234,0.9492827313697888,2018
394802,294,"London, KY",msa,KY,2018-03-31,28.0,101512.01932155654,0.9596000104864322,2018
845167,296,"Ottawa, IL",msa,IL,2018-03-31,17.0,256118.84947418442,0.9223511519985008,2018
394595,302,"Flagstaff, AZ",msa,AZ,2018-03-31,52.0,347771.7329226439,0.9728935295191278,2018
395036,303,"Rocky Mount, NC",msa,NC,2018-03-31,22.0,112020.717064851,0.950013029370174,2018
394515,305,"Dalton, GA",msa,GA,2018-03-31,31.0,138403.58567725483,0.9679948871477068,2018
394783,306,"Lebanon, PA",msa,PA,2018-03-31,45.0,185560.1797463325,0.9674681190038203,2018
394880,307,"Morristown, TN",msa,TN,2018-03-31,40.0,156306.04326481462,0.9644135618892572,2018
395232,308,"Winchester, VA",msa,VA,2018-03-31,48.0,245434.82388182057,0.9832555329946376,2018
395221,309,"Wheeling, WV",msa,OH,2018-03-31,39.0,102925.0442188616,0.9578625849664352,2018
394900,312,"Napa, CA",msa,CA,2018-03-31,57.0,694657.405074564,0.9866289721950244,2018
395013,313,"Rapid City, SD",msa,SD,2018-03-31,50.0,214126.21792151243,0.97525299615452,2018
395139,314,"Sumter, SC",msa,SC,2018-03-31,32.0,138969.5760900709,0.9731037464693209,2018
395117,316,"Springfield, OH",msa,OH,2018-03-31,32.0,104951.21015557207,0.965963131035168,2018
394668,317,"Harrisonburg, VA",msa,VA,2018-03-31,43.0,220689.229280889,0.9710285716846122,2018
394368,318,"Battle Creek, MI",msa,MI,2018-03-31,38.0,102139.20772574651,0.9591718136341288,2018
394728,323,"Jonesboro, AR",msa,AR,2018-03-31,34.0,135534.6203828744,0.9548541782345056,2018
394983,326,"Pittsfield, MA",msa,MA,2018-03-31,27.0,221517.89125988545,0.9364001268628662,2018
394890,327,"Mount Vernon, WA",msa,WA,2018-03-31,65.0,340727.4448223778,0.9920713119122408,2018
394719,328,"Jamestown, NY",msa,NY,2018-03-31,17.0,93572.24189636688,0.9277917129227656,2018
395153,329,"The Villages, FL",msa,FL,2018-03-31,46.0,259677.23994292496,0.9749621122841264,2018
394307,330,"Albany, OR",msa,OR,2018-03-31,68.0,239071.12633023763,0.9996934573555206,2018
394633,331,"Glens Falls, NY",msa,NY,2018-03-31,27.0,188715.0887974622,0.9745130013706262,2018
394325,336,"Ames, IA",msa,IA,2018-03-31,47.0,197061.79293681768,0.9595863822151685,2018
394905,341,"New Bern, NC",msa,NC,2018-03-31,40.0,146280.85488490612,0.9692679555167516,2018
395120,343,"St. Joseph, MO",msa,MO,2018-03-31,20.0,126977.2001003732,0.9594779139182484,2018
395218,345,"Wenatchee, WA",msa,WA,2018-03-31,64.0,318158.44262292254,0.9944653424787864,2018
753890,347,"Holland, MI",msa,MI,2018-03-31,49.0,198839.4453871585,0.983097782255285,2018
394778,349,"Lawrence, KS",msa,KS,2018-03-31,60.0,200743.1063470171,0.9859057587322164,2018
395213,351,"Watertown, NY",msa,NY,2018-03-31,18.0,146787.67852963725,0.9308857318662088,2018
394407,356,"Bozeman, MT",msa,MT,2018-03-31,57.0,407346.5991682429,0.9799044293872962,2018
394423,360,"Brunswick, GA",msa,GA,2018-03-31,37.0,189209.60360739697,0.964354839297444,2018
753872,361,"California, MD",msa,MD,2018-03-31,51.0,303327.7947245396,0.9884982858144048,2018
394857,365,"Michigan City, IN",msa,IN,2018-03-31,40.0,141352.316644122,0.9562246968638536,2018
395039,366,"Roseburg, OR",msa,OR,2018-03-31,49.0,206722.7513568329,0.9733962351939264,2018
394804,368,"Longview, WA",msa,WA,2018-03-31,73.0,249516.7386566492,0.9844823145127632,2018
394734,370,"Kankakee, IL",msa,IL,2018-03-31,29.0,136359.72968834636,0.9618778663114376,2018
395095,372,"Show Low, AZ",msa,AZ,2018-03-31,48.0,209361.66541380467,0.9697457014687694,2018
395023,373,"Richmond, KY",msa,KY,2018-03-31,11.0,159493.028659582,0.968520576577201,2018
394524,378,"Decatur, IL",msa,IL,2018-03-31,10.0,78713.51658144243,0.890257139876436,2018
394762,379,"LaGrange, GA",msa,GA,2018-03-31,17.0,111655.30495106411,0.9512464008176624,2018
394369,380,"Bay City, MI",msa,MI,2018-03-31,35.0,101407.75166030884,0.965428462997599,2018
394630,382,"Gettysburg, PA",msa,PA,2018-03-31,37.0,213984.50656175587,0.9623626188381368,2018
753915,388,"Salem, OH",msa,OH,2018-03-31,15.0,101670.40370077126,0.9277791498652452,2018
395166,389,"Truckee, CA",msa,CA,2018-03-31,55.0,466651.7793189336,0.9780313761004584,2018
395080,390,"Sebring, FL",msa,FL,2018-03-31,35.0,126564.47505675232,0.9904488392238788,2018
394462,391,"Cheyenne, WY",msa,WY,2018-03-31,55.0,268853.24367502274,0.9863094005541868,2018
394302,393,"Adrian, MI",msa,MI,2018-03-31,53.0,150813.97419605125,0.9555662366060208,2018
753912,398,"Pinehurst, NC",msa,NC,2018-03-31,44.0,228361.4732831433,0.9646751641499508,2018
